"","logFC","logCPM","LR","PValue","FDR"
"PITA_35366",-8.01691750681166,2.36765296543927,65.133821966498,6.99806113543004e-16,5.98660803265588e-12
"PITA_30776",-10.5269874374223,3.00498788813488,63.5921064122223,1.53041189836111e-15,9.81912273988487e-12
"PITA_51743",-5.81736068764158,3.47857744443642,51.3438190766009,7.7525709831837e-13,3.31603302854044e-09
"PITA_30727",-8.43318724245075,0.996215234344137,40.1648396768341,2.33411655680825e-10,7.48784591424088e-07
"PITA_11940",-7.08689493523299,2.27228318821732,38.0670286671789,6.83555209348538e-10,1.94919565474676e-06
"PITA_29519",-3.93307958473103,1.76722030452906,30.6667845874056,3.06364881729324e-08,6.04811409592414e-05
"PITA_18936",-4.29221545134716,3.80801468683018,29.6049328343209,5.29699653082807e-08,9.71015135479797e-05
"PITA_14169",-7.6083688521715,0.25515298040136,29.0262488876624,7.14041906542083e-08,0.000122167809929973
"PITA_41069",-3.67602351723425,3.32890995061212,27.4466921890956,1.6148484075946e-07,0.000259021684578174
"PITA_47365",-3.79903591273323,2.6577582121096,27.0917129995805,1.94027919001693e-07,0.000292913677250555
"PITA_46887",-4.02562726313252,4.17543499201019,25.5010101314996,4.42151365277438e-07,0.000597230138867378
"PITA_43376",-5.09183162617309,3.37402938183101,25.2632376320414,5.00151180533437e-07,0.000614228577025943
"PITA_45894",-1.96782073660586,6.50831112619863,24.9372176986983,5.9227915579299e-07,0.000660880532794405
"PITA_01094",-7.00212212513757,-0.251666939039058,24.5010301492052,7.42701177732531e-07,0.00079419512605532
"PITA_17289",-2.97044761828447,5.00752687153722,23.3424474925825,1.35574792295682e-06,0.00133822748826015
"PITA_13753",-5.40362415185126,3.6279874777288,22.5022196812381,2.09900909552234e-06,0.00192389176526733
"PITA_31397",-2.94852185750482,3.54703806334927,22.1463883321248,2.52630789570343e-06,0.00223569537363217
"PITA_06378",-3.2979297154307,3.09825761708111,22.0595052787094,2.64327495861648e-06,0.00226123361793111
"PITA_11445",-2.8231878877699,3.92063281292235,21.7806837631761,3.05662025868455e-06,0.00245140944746501
"PITA_24394",-2.42894280095253,4.31709446374794,21.3355220694981,3.85521240060553e-06,0.0029981870014891
"PITA_36783",-3.83694782411832,0.712906761225261,21.0720454579219,4.4233427933577e-06,0.0032434476985352
"PITA_43561",-2.70378826625822,2.9984485065553,19.985645134429,7.80257261880037e-06,0.00513449291509981
"PITA_13629",-3.51383876295658,6.07122292945754,19.4547368223028,1.03012049931117e-05,0.00644805182788338
"PITA_37469",-3.17548610092425,7.17899174213967,18.56297526154,1.64382463169255e-05,0.00907832053982401
"PITA_31215",-1.97359581629,3.77814754181195,18.0432562606987,2.1594219386234e-05,0.0115457092985065
"PITA_08856",-3.15715740077528,1.45085670020869,17.6591043666326,2.64247346846128e-05,0.0135632878189181
"PITA_01832",-5.98917287824864,6.72299445252197,17.5923239536583,2.73690852918647e-05,0.0135907912833659
"PITA_23224",-4.07043004102049,0.905065343387435,17.5806614632034,2.75374511664209e-05,0.0135907912833659
"PITA_30904",-4.32547832425791,0.875654145600843,17.2738975796211,3.23601762657661e-05,0.0156696521449928
"PITA_12572",-5.9557181552056,4.73484937702177,17.165663527309,3.42572841414307e-05,0.0159850716401032
"PITA_01019",-2.33686719253068,4.22348986394349,17.01857980493,3.70158283509584e-05,0.0169638253356964
"PITA_29846",-5.11810981567676,4.53586120186872,16.8533936145313,4.03810607819405e-05,0.018181395507153
"PITA_24700",-5.56710709344278,8.36286451304828,16.7008740378453,4.37608323470588e-05,0.0191085611255803
"PITA_36013",-1.42427411855149,5.09539802035749,16.6935787645324,4.3929438373178e-05,0.0191085611255803
"PITA_33895",-3.51353259080216,4.08195552121457,16.6192162069652,4.56857896379508e-05,0.0195413350878061
"PITA_02167",-3.2300969152678,3.04088391852962,16.5483745770799,4.74246188188908e-05,0.0199525478257052
"PITA_38955",-1.33108849263949,5.66254948943656,16.3977156105754,5.13470749414278e-05,0.0209170052586794
"PITA_46082",-3.76480887101129,0.639614163062509,16.2998798309854,5.40673801428244e-05,0.0212397918491344
"PITA_49488",-2.42588592349812,5.02935177674295,16.28053160219,5.46222826544137e-05,0.0212397918491344
"PITA_50584",-4.87537871468477,6.33313513367871,15.8772105405053,6.7587695894309e-05,0.0244305722173457
"PITA_37572",-1.50423648560711,5.01884951932889,15.5594246461252,7.99520881299379e-05,0.028498477635649
"PITA_39019",-3.27594943395692,3.68968493996565,15.5332619741906,8.10662184950792e-05,0.0284997730336673
"PITA_34170",-1.71881139255671,4.39312232878145,15.4250290232996,8.5843742087688e-05,0.0297715377964652
"PITA_48547",-1.73686290963376,6.20482907178954,15.3606421053083,8.88192289941745e-05,0.0299928512224539
"PITA_02582",-2.79668118528285,1.83096172199824,15.33456310624,9.00537391518974e-05,0.0300147943064194
"PITA_25188",-2.46047614471346,2.23218603447317,15.2946670317024,9.19758083295448e-05,0.03026239929448
"PITA_20903",-2.2303095467065,2.83645607192632,15.116421772126,0.000101080170850604,0.0324265188088738
"PITA_08882",-3.31968912814059,2.70073331925372,15.0253324125402,0.000106077662573475,0.0329746042862658
"PITA_06806",-1.49424628551968,4.71195403653703,14.708265368972,0.000125495019197119,0.0378906373255867
"PITA_08268",-2.07289847986291,4.24326347477545,14.5856507850923,0.00013393050676678,0.0388399937132558
"PITA_18311",-1.82061818220032,4.38476156227634,14.5173176154192,0.000138877002815565,0.0396015488917628
"PITA_22254",-2.23286207003485,2.85375672874198,14.4625556102741,0.000142973588477216,0.0403216942272447
"PITA_37518",-3.4719029101006,0.545317255639199,14.4209863973073,0.000146164317517702,0.0403978948723383
"PITA_22542",-3.8939991296954,2.75323279328186,14.4180551716512,0.000146391997472236,0.0403978948723383
"PITA_18097",-4.64099169542103,6.80244005865481,14.3854071565489,0.00014895216787636,0.0406671110253075
"PITA_10941",-2.81559312539739,2.60228038919773,14.3095499659372,0.000155076146746858,0.0418107741371625
"PITA_33273",-3.26827136252819,1.35988981981224,14.2935555874196,0.000156399404503102,0.0418107741371625
"PITA_37076",-3.80806972947883,0.166538016709703,14.1307270750599,0.000170535259410025,0.0433328405692958
"PITA_39239",-4.73251054838578,4.09356137672919,13.8816971835216,0.000194685181583715,0.0458385366987566
"PITA_42431",-2.87856680687573,4.15233953029105,13.805135989207,0.000202781138108719,0.0473106829856561
"PITA_27863",-2.34873642892212,3.1656555073977,13.7450378096622,0.000209373196791483,0.0479763725219341
"PITA_06366",-3.50453375786635,0.635531410238388,13.7085596132533,0.000213479294843456,0.0484843594943579
"PITA_51213",-3.65420106729358,2.4642485872394,13.6657542209195,0.000218401199500784,0.0488356922480427
"PITA_22395",-1.23406491569229,5.58586711803992,13.6620539047325,0.000218832006254867,0.0488356922480427
"PITA_13063",-2.67823344733206,1.50206945956882,13.4605644482746,0.000243630450452797,0.0535447180751432
